ID prestashop,id nazione,ID provincia,Nome azienda,assignedto,vtiger ID,idx,idxx,0,nome indirizzo,desc indirizzo,nome ,cognom,strada,,cap,citta,NOTE,telefono,cellulare,altro tel,destinazione,nome magazino,id magazino,
2,8,0,#N/A,#N/A,0,0,0,0,Mon adresse,My Company,DOE,John,"16, Main street",2nd floor,75002,Paris ,,102030405,,,#N/A,#N/A,1,#N/A
3,21,32,#N/A,#N/A,0,0,1,0,supplier,Apple,supplier,supplier,767 Fifth Ave.,,10153,New York,,(212) 336-1440,,,#N/A,#N/A,2,#N/A
4,21,13,#N/A,#N/A,0,0,2,0,supplier,Shure,supplier,supplier,5800 W. Touhy Ave,,60714,Niles,,800-434-3350,,,#N/A,#N/A,3,#N/A
5,10,139,#N/A,#N/A,2,0,0,0,Indirizzo Aziendale,Dolce Stefano,Dolce,Stefano,via Test 001,,25100,Brescia,,,3395987056,,#N/A,#N/A,4,#N/A
6,10,182,#N/A,#N/A,4,0,0,0,MIO,teknema,CANTONI,TANIA,via CELLINI 15,,20852,villasanta,,3356947574,3356947574,,#N/A,#N/A,5,#N/A
7,10,182,#N/A,#N/A,4,0,0,0,CONSEGNA,teknema,CANTONI,TANIA,VIA VERCELLI 14,,20852,villasanta,,3356947574,3356947574,,#N/A,#N/A,6,#N/A
8,10,222,#N/A,#N/A,80291,0,0,0,Telecentro,Telecentro di Canzian Fausto,Canzian,Fausto,Via P.Maset 23,,31015,Conegliano,,43835236,3388929418,567480264,#N/A,#N/A,7,#N/A
9,10,181,B&B s.r.l.,CAT-TPV-79147,79147,0,0,0,B&B SRL,B&B SRL,BORSARI,ROBERTO,VIA MALAVOLTI 47,,41122,MODENA,,59254545,335337687,339600363,B&B s.r.l. - MODENA,WH - B&B s.r.l. - MODENA,8,B&B s.r.l.-8
13,10,123,#N/A,#N/A,5,0,0,0,asd,,cat,cat,via verdi,,23052,123,,,123321321,,#N/A,#N/A,9,#N/A
14,10,183,GENERAL SERVICE s.r.l.,CAT-TPV-79221,79221,0,0,0,Principale,GENERAL SERVICE s.r.l.,Musella,Paolo,Via Arcora 110 Centro GECOS,,80013,Casalnuovo Di Napoli,,,3398928836,5661661214,GENERAL SERVICE s.r.l. - Casalnuovo Di Napoli,WH - GENERAL SERVICE s.r.l. - Casalnuovo Di Napoli,10,GENERAL SERVICE s.r.l.-10
15,10,208,SCF s.r.l.,CAT-TPV-79284,79284,0,0,0,Sede,SCF s.r.l.,SCF s.r.l.,Cerchiaro Giuseppe Antonio,VIA Massa di san Giuliano 556/G,,132,ROMA,,62203016,3331907308,,SCF s.r.l. - ROMA,WH - SCF s.r.l. - ROMA,11,SCF s.r.l.-11
16,10,176,CASTALDI & FAVILLA s.n.c.,CAT-TPV-79165,79165,0,0,0,SEDE MASSA,,CASTALDI & FAVILLA s.n.c.,Castaldi e Ferrari,VIALE ROMA 202,,54100,MASSA,,5852451348,3475630337,,CASTALDI & FAVILLA s.n.c. - MASSA,WH - CASTALDI & FAVILLA s.n.c. - MASSA,12,CASTALDI & FAVILLA s.n.c.-12
17,10,173,CASTALDI & FAVILLA s.n.c.,CAT-TPV-79165,79165,0,0,0,SEDE VIAREGGIO,,CASTALDI & FAVILLA s.n.c.,Castaldi e Ferrari,VIA MONTE SAGRO 10,,55049,VIAREGGIO,,585942535,3391185690,,CASTALDI & FAVILLA s.n.c. - VIAREGGIO,WH - CASTALDI & FAVILLA s.n.c. - VIAREGGIO,13,CASTALDI & FAVILLA s.n.c.-13
18,10,231,A.D.ELETTRONICA s.a.s.,CAT-TPV-79122,79122,0,0,0,Assistenza Philips,A.D.ELETTRONICA s.a.s.,Costantini,Alfonso,"via degli Alpini, 17",,36040,Torri di Quartesolo,,444582405,,2936150248,A.D.ELETTRONICA s.a.s. - Torri di Quartesolo,WH - A.D.ELETTRONICA s.a.s. - Torri di Quartesolo,14,A.D.ELETTRONICA s.a.s.-14
19,10,157,VITTORIO TV di Andreuccetti Stefano,CAT-TPV-79328,79328,0,0,0,ricambi,VITTORIO TV di Andreuccetti Stefano,Andreuccetti,Stefano,via Alamanni 27/29,,50053,Empoli,,57183311,3458214300,5896730487,VITTORIO TV di Andreuccetti Stefano - Empoli,WH - VITTORIO TV di Andreuccetti Stefano - Empoli,15,VITTORIO TV di Andreuccetti Stefano-15
20,10,126,GAMBALONGA ELETTRODOMESTICI srl,CAT-TPV-79333,79333,0,0,0,GAMBALONGA,GAMBALONGA ELETTRODOMESTICI SRL.,rosset,elis,VIA LINO BINEL 20,,11100,AOSTA,FAX 0165363252,16545783,3479163390,352890073,GAMBALONGA ELETTRODOMESTICI srl - AOSTA,WH - GAMBALONGA ELETTRODOMESTICI srl - AOSTA,16,GAMBALONGA ELETTRODOMESTICI srl-16
22,10,191,H.T.S. s.n.c. di Bonelli Fabrizio & C.,CAT-TPV-79229,79229,0,0,0,HTS Parma,, di Bonelli Fabrizio e C.,H.T.S. snc,"Via Giovanni Lanfranco,8",,43126,Parma,,521294589,3489221908,,H.T.S. s.n.c. di Bonelli Fabrizio & C. - Parma,WH - H.T.S. s.n.c. di Bonelli Fabrizio & C. - Parma,17,H.T.S. s.n.c. di Bonelli Fabrizio & C.-17
23,10,182,ARVIS s.r.l.,CAT-TPV-79137,79137,0,0,0,Arvis,ARVIS s.r.l.,Gulisano,Giovanni,Via Einaudi 2,,20832,DESIO,,3621721774,3356681923,11321790153,ARVIS s.r.l. - DESIO,WH - ARVIS s.r.l. - DESIO,18,ARVIS s.r.l.-18
24,10,157,E.S.A. srl,CAT-TPV-79177,79177,0,0,0,Ordini PH,ESA Srl,Vignoli,Massimo,"Via Lungo L'Affrico, 96-A",,50137,Firenze,,055-660019,3926218505,6296110486,E.S.A. srl - Firenze,WH - E.S.A. srl - Firenze,19,E.S.A. srl-19
25,10,225,VARESE SERVICE di Bosio Danilo e Serra Massimo snc,CAT-TPV-79317,79317,0,0,0,Varese sede,,VARESE SERVICE SNC,Serra Massimo,"Viale Borri, 291",,21100,Varese,,0332 330550,,,VARESE SERVICE di Bosio Danilo e Serra Massimo snc - Varese,WH - VARESE SERVICE di Bosio Danilo e Serra Massimo snc - Varese,20,VARESE SERVICE di Bosio Danilo e Serra Massimo snc-20
26,10,208,VIDEOTEST SERVICE Societ,CAT-TPV-79327,79327,0,0,0,VIDEOTEST SERVICE,VIDEOTEST SERVICE SOC. COOP.,MAONE,MAURO,VIA ARTURO GRAF 26,,137,ROMA,,68680050,3357048232,9569131007,VIDEOTEST SERVICE Societ - ROMA,WH - VIDEOTEST SERVICE Societ - ROMA,21,VIDEOTEST SERVICE Societ-21
27,10,208,EUROSERVICE PETROSELLI s.r.l.,CAT-TPV-79205,79205,0,0,0,23,EUROSERVICE PETROSELLI s.r.l.,EUROSERVICE PETROSELLI s.r.l.,Ruiu Massimo,Via Alessandro Cialdi 35,Via Alessandro Cialdi 35,154,roma,,65134749,65127753,6680091003,EUROSERVICE PETROSELLI s.r.l. - roma,WH - EUROSERVICE PETROSELLI s.r.l. - roma,22,EUROSERVICE PETROSELLI s.r.l.-22
29,10,171,BI.EMME ELETTRONICA di Barghigiani M.,CAT-TPV-79153,79153,0,0,0,Bi.Emme Elettronica,Bi.Emme Elettronica,Barghigiani,Marco,Via Aurelio Nicolodi 43,,57121,Livorno,,,586425222,,BI.EMME ELETTRONICA di Barghigiani M. - Livorno,WH - BI.EMME ELETTRONICA di Barghigiani M. - Livorno,23,BI.EMME ELETTRONICA di Barghigiani M.-23
30,10,202,ADAMO GIOVANNI,CAT-TPV-79127,79127,0,0,0,adamo negozio,AV SERVICE di adamo giovanni,adamo,Giovanni  ,via g.ferraris 18,,97100,ragusa,,0932 624553,3494248445,,ADAMO GIOVANNI - ragusa,WH - ADAMO GIOVANNI - ragusa,24,ADAMO GIOVANNI-24
31,10,149,ELETTRONICA GMR snc di Russo Giulio e Marcello,CAT-TPV-79187,79187,0,0,0,INDIRIZZO NEGOZIO,,ELETTRONICA GMR snc di Russo G,Russo Giulio,VIA TURATI 32,,22100,COMO,,31506175,3926136590,,ELETTRONICA GMR snc di Russo Giulio e Marcello - COMO,WH - ELETTRONICA GMR snc di Russo Giulio e Marcello - COMO,25,ELETTRONICA GMR snc di Russo Giulio e Marcello-25
32,10,157,"S.A.T.E.R. di Tani, Mazzerelli e Forti s.n.c.",CAT-TPV-79277,79277,0,0,0,s.a.t.e.r.,S.A.T.E.R. di Tani Mazzereli Forti  Snc,TANI,ROSSANO,Via A. Allori 54/56,,50127,FIRENZE,,55430062,3286590993,470620485,"S.A.T.E.R. di Tani, Mazzerelli e Forti s.n.c. - FIRENZE","WH - S.A.T.E.R. di Tani, Mazzerelli e Forti s.n.c. - FIRENZE",26,"S.A.T.E.R. di Tani, Mazzerelli e Forti s.n.c.-26"
33,10,131,ADS s.r.l.,CAT-TPV-79129,79129,0,0,0,Laboratorio,ADS s.r.l.,ADS s.r.l.,ADS s.r.l.,Viale caduti di Nassirya N°8,,70124,Bari,,080-5020006,328-6520794,6855090723,ADS s.r.l. - Bari,WH - ADS s.r.l. - Bari,27,ADS s.r.l.-27
34,10,143,RADIOTELETECNICA di Iurescia E.,CAT-TPV-79274,79274,0,0,0,LABORATORIO,RADIOTELETECNICA,IURESCIA,EMILIO,VIA ASIA  21,,86039,TERMOLI,,87581180,3480622043,,RADIOTELETECNICA di Iurescia E. - TERMOLI,WH - RADIOTELETECNICA di Iurescia E. - TERMOLI,28,RADIOTELETECNICA di Iurescia E.-28
35,10,199,A.V.R. SERVICE di Fochesato Ivan Mos�,CAT-TPV-79337,79337,0,0,0,laboratorio,,A.V.R. SERVICE di Fochesato,A.V.R. SERVICE di Fochesato,Via Colonna .20/b,,33170,pordenone,,43427669,3281110070,,A.V.R. SERVICE di Fochesato Ivan Mos� - pordenone,WH - A.V.R. SERVICE di Fochesato Ivan Mos� - pordenone,29,A.V.R. SERVICE di Fochesato Ivan Mos�-29
36,10,180,ALL SERVICE s.r.l.,CAT-TPV-79131,79131,0,0,0,PRINCIPALE,,ALL SERVICE s.r.l.,Episcopo francesco,via CARLO BAZZI 45,,20141,MILANO,,,289059782,,ALL SERVICE s.r.l. - MILANO,WH - ALL SERVICE s.r.l. - MILANO,30,ALL SERVICE s.r.l.-30
37,10,124,R.T. SERVICE di Garrone Margherita,CAT-TPV-79269,79269,0,0,0,SPEDIZIONE ORDINI, R T SERVICE,Garrone,Margherita,VIA CARLO ALBERTO 53,,15121,ALESSANDRIA,,0131-344629,3474040726,1983440064,R.T. SERVICE di Garrone Margherita - ALESSANDRIA,WH - R.T. SERVICE di Garrone Margherita - ALESSANDRIA,31,R.T. SERVICE di Garrone Margherita-31
38,10,134,IANNUCCI ROBERTO,CAT-TPV-79231,79231,0,0,0,INDIRIZZO,,IANNUCCI ROBERTO,Iannucci Roberto,VIA COSIMO NUZZOLO  N. 39,,82100,BENEVENTO,,,3388177869,,IANNUCCI ROBERTO - BENEVENTO,WH - IANNUCCI ROBERTO - BENEVENTO,32,IANNUCCI ROBERTO-32
39,10,179,ELDOM ELETTRONICA S.r.l.,CAT-TPV-79178,79178,0,0,0,SEDE LEGALE,ELDOM ELETTRONICA SRL,Silvestro,Roberto,"VIA GHIBELLINA, 220","VIA CESARE BATTISTI, 351",98123,MESSINA,,902932105,3409769099,3041980834,ELDOM ELETTRONICA S.r.l. - MESSINA,WH - ELDOM ELETTRONICA S.r.l. - MESSINA,33,ELDOM ELETTRONICA S.r.l.-33
40,10,196,C.L.S. di Cristiani e Livrerio s.n.c.,CAT-TPV-79160,79160,0,0,0,domicilio fiscale,,C.L.S. di Cristiani e Livrerio,Cristiani livrerio,via Sebastiano Ricci 21/c,,29100,piacenza,,0523 613073,,,C.L.S. di Cristiani e Livrerio s.n.c. - piacenza,WH - C.L.S. di Cristiani e Livrerio s.n.c. - piacenza,34,C.L.S. di Cristiani e Livrerio s.n.c.-34
41,10,229,MARCOLONGO G. & C. s.n.c.,CAT-TPV-79248,79248,0,0,0,G.Franco,Marcolongo G.Franco & C. S.n.c.,MARCOLONGO G. & C. s.n.c.,Marcolongo Gianfranco,"Via T. Campanella, 1",,37133,Verona,,045 8402682,329 8212425,1620030237,MARCOLONGO G. & C. s.n.c. - Verona,WH - MARCOLONGO G. & C. s.n.c. - Verona,35,MARCOLONGO G. & C. s.n.c.-35
42,10,153,R.T.A. snc di Viglino G. Allaria V. e Sottimano F,CAT-TPV-79271,79271,0,0,0,a,,R.T.A. snc di Ferruccio,rta,cso Piave 91b,,12051,Alba,,173282880,,,R.T.A. snc di Viglino G. Allaria V. e Sottimano F - Alba,WH - R.T.A. snc di Viglino G. Allaria V. e Sottimano F - Alba,36,R.T.A. snc di Viglino G. Allaria V. e Sottimano F-36
43,10,207,TELESERVICE di Valenti Cristiano,CAT-TPV-79302,79302,0,0,0,TELESERVICE,TELESERVICE DI VALENTI CRISTIANO,VALENTI,CRISTIANO,VIA DELL'ABETE 10,,47923,RIMINI,,541771302,3286769130,2419640400,TELESERVICE di Valenti Cristiano - RIMINI,WH - TELESERVICE di Valenti Cristiano - RIMINI,37,TELESERVICE di Valenti Cristiano-37
44,10,183,#N/A,#N/A,143,0,0,0,caa,napoli2 di antonio moscatelli,moscatelli,antonio,via san alfonso maria de liguori 30,,80144,napoli,,815991978,3473609117,7095401217,#N/A,#N/A,38,#N/A
45,10,198,G2 s.n.c. di Gherardi Roberto & C.,CAT-TPV-79216,79216,0,0,0,G2-s.n.c.,G2-s.n.c. di Innocenti Fabrizio & c.,Vannini,Fausto,via Luigi Russo 110/114,,51100,Pistoia,,573382563,3332651551,,G2 s.n.c. di Gherardi Roberto & C. - Pistoia,WH - G2 s.n.c. di Gherardi Roberto & C. - Pistoia,39,G2 s.n.c. di Gherardi Roberto & C.-39
46,10,180,S.T.A.R.T. s.a.s. di Bersani Fabrizio C.,CAT-TPV-79278,79278,0,0,0,START,,S.T.A.R.T. s.a.s. di Bersani F,Bersani Fabrizio,VIA JACOPINO DA TRADATE 13,,20155,MILANO,,239265777,3382009613,,S.T.A.R.T. s.a.s. di Bersani Fabrizio C. - MILANO,WH - S.T.A.R.T. s.a.s. di Bersani Fabrizio C. - MILANO,40,S.T.A.R.T. s.a.s. di Bersani Fabrizio C.-40
47,10,190,#N/A,#N/A,146,0,0,0,laboratorio,,A.T.C. PRO di Giuseppe Messina,MESSINA GIUSEPPE,Corso Calatafimi N° 1033 interni 7/8,,90131,PALERMO ,,916681446,3389777052,,#N/A,#N/A,41,#N/A
48,10,183,ELETTRO SERVICE ITALIA SOCIETA' CONSORTILE AR,CAT-TPV-79181,79181,0,0,0,Quick service  Portici ,,Sasso Giuseppe ,ELETTRO SERVICE ITALIA ARL ,"Via Dalbono,18",,80055,San Marzano sul Sarno,,81275400,3470953345,,ELETTRO SERVICE ITALIA SOCIETA' CONSORTILE AR - San Marzano sul Sarno,WH - ELETTRO SERVICE ITALIA SOCIETA' CONSORTILE AR - San Marzano sul Sarno,42,ELETTRO SERVICE ITALIA SOCIETA' CONSORTILE AR-42
49,10,183,#N/A,#N/A,139,0,0,0,VIDEOTRONICS CASTELLAMMARE,,ELETTRO SERVICE ITALIA ARL,ESPOSITO PASQUALE,"Via Alcide de Gasperi, 249/b",,80053,Castellammare di Stabia,,818705752,,,#N/A,#N/A,43,#N/A
50,10,136,ARTE E TECNICA s.n.c.,CAT-TPV-79133,79133,0,0,0,SEDE FISCALE,ARTE E TECNICA SNC,ARTE E TECNICA s.n.c.,Mattiuzzo Stefano,VIA FALLETTI 22,,13900,BIELLA,,158496250,3472736434,1821270020,ARTE E TECNICA s.n.c. - BIELLA,WH - ARTE E TECNICA s.n.c. - BIELLA,44,ARTE E TECNICA s.n.c.-44
51,10,136,ARTE E TECNICA s.n.c.,CAT-TPV-79133,79133,0,0,0,UNITA' LOC. INGRESSO AL PUBBLICO,ARTE E TECNICA SNC,ARTE E TECNICA s.n.c.,Mattiuzzo Stefano,VIA MACCHIERALDO 9C,,13900,BIELLA,,,3472736434,1821270020,ARTE E TECNICA s.n.c. - BIELLA,WH - ARTE E TECNICA s.n.c. - BIELLA,45,ARTE E TECNICA s.n.c.-45
52,10,208,ENEA ELETTRONICA s.r.l.,CAT-TPV-79202,79202,0,0,0,indirizzo 1,ENEA ELETTRONICA s.r.l.,Patrizi,Enrico ,Via Bellegra 25 ,,171,Roma,orario: lun-ven 9-12.30  15-18,62575884,3394676751,10302171003,ENEA ELETTRONICA s.r.l. - Roma,WH - ENEA ELETTRONICA s.r.l. - Roma,46,ENEA ELETTRONICA s.r.l.-46
53,10,156,TELSAT di Peggio Ivano & C. s.n.c.,CAT-TPV-79309,79309,0,0,0,TELSAT FERRARA,TELSAT DI PEGGIO I. & C. SNC,TELSAT di Peggio Ivano & C. s.,Peggio Ivano,VIA TOSCANINI 45,,44124,FERRARA,,532975221,3491934055,1306920388,TELSAT di Peggio Ivano & C. s.n.c. - FERRARA,WH - TELSAT di Peggio Ivano & C. s.n.c. - FERRARA,47,TELSAT di Peggio Ivano & C. s.n.c.-47
54,10,205,TELSAT di Peggio Ivano & C. s.n.c.,CAT-TPV-79309,79309,0,0,0,TELSAT REGGIOEMILIA,TELSAT DI PEGGIO IVANO & C. SNC,TELSAT di Peggio Ivano & C. s.,Peggio Ivano,VIA E. PETROLINI 12F,,42100,REGGIOEMILIA,,522552660,,1306920388,TELSAT di Peggio Ivano & C. s.n.c. - REGGIOEMILIA,WH - TELSAT di Peggio Ivano & C. s.n.c. - REGGIOEMILIA,48,TELSAT di Peggio Ivano & C. s.n.c.-48
55,10,123,SERVICE AUDIO VIDEO di Rizzuto Giuseppe,CAT-TPV-79286,79286,0,0,0,pierpaolo,,SERVICE AUDIO VIDEO,Rizzuto Giuseppe,via s. carnevale 27,,92019,sciacca,,,3478002779,,SERVICE AUDIO VIDEO di Rizzuto Giuseppe - sciacca,WH - SERVICE AUDIO VIDEO di Rizzuto Giuseppe - sciacca,49,SERVICE AUDIO VIDEO di Rizzuto Giuseppe-49
